id;name;brief;description;phone_number;content_status;paybill;association_type;configs;created_by;created_on;last_updated_on;last_updated_by
1;Health Berkshire;States solid invoice;primary reintermediate online;Tasty Credit;Vermont Chad Square;open-source SMS;PRIMARYSCHOOL;Berkshire superstructure Suriname;TCP copying Direct;Ergonomic Gorgeous;cross-platform calculate Berkshire;Montana
2;Officer;Supervisor ROI;open Hat transmitting;Avon methodologies;deposit channels Planner;concept networks;HIGHSCHOOL;ivory;navigate;Arkansas Ouguiya e-services;Specialist HTTP copy;Monetary
3;e-tailers;Chad;instruction copy;Mississippi Assistant Sleek;HTTP Chief;Fish;HIGHSCHOOL;Guyana Cambridgeshire override;RSS human-resource;revolutionize Phased;Balanced Aruba;Estonia Ohio
4;Connecticut;Intelligent;Table Generic intangible;gold;Division;parsing Investor Mouse;UNIVERSITY;facilitate Hat Supervisor;internet;architect Global;Profound bypass Loan;Soap EXE
5;Customer Assistant;Unbranded International;Washington;SAS Forges deposit;turquoise data-warehouse synthesize;Ball Pants Avenue;OTHER;deposit;bypassing;Pennsylvania orchid Applications;Division States Nicaragua;blue Solutions salmon
6;interfaces Cambridgeshire iterate;JSON;sensor Hryvnia index;bleeding-edge morph transmitter;Radial enhance Shoes;web-enabled Specialist Nauru;PRIMARYSCHOOL;Fantastic;Cheese capacitor;JBOD deposit Intelligent;Agent Berkshire viral;architectures connecting Oregon
7;optical;Toys;index Uzbekistan;mobile;backing USB;Research 24/7 syndicate;UNIVERSITY;Berkshire optimize Infrastructure;Implementation Small;alarm;Steel compressing sensor;Steel Chad
8;markets Communications Licensed;cross-platform Plains;interfaces monetize Roads;Drive Automotive;Generic;Refined Credit Incredible;PRIMARYSCHOOL;Vermont target synthesizing;user-facing payment;Cotton;Refined Associate benchmark;Iowa
9;Tuvalu;channels Terrace copying;Persistent;e-business Southern;Orchestrator bypass Fundamental;architectures connect Parks;PRIMARYSCHOOL;SAS;visualize digital regional;THX Dam Hat;Handmade Manager;best-of-breed
10;Buckinghamshire;Spur;International;Colombia 1080p;Path Direct;Peso;PRIMARYSCHOOL;sensor Regional Balanced;Fresh;Music transmitter reboot;Awesome;circuit Fundamental
