id;report_date;succesful_trx;failed_trx;amount;configs;created_on;created_by;last_updated_on;last_updated_by
1;cross-media Circles;Frozen Mountains;USB;90215;bandwidth Soft Island;Steel;Designer Investment reinvent;firewall;South
2;Fantastic Pitcairn;Small parse;user;52865;Games Wooden brand;cross-media discrete Liaison;Toys;Agent Pizza global;orange
3;Salad parsing Handmade;lime facilitate;program granular;77623;state;South content-based;Account actuating;Light ubiquitous;Marketing Causeway connecting
4;parsing mobile optical;User-friendly;Iraq Plastic Loan;96238;Cotton out-of-the-box Rustic;Ruble plum Rubber;open-source Clothing Salad;Pants;XSS Turkish Multi-channelled
5;internet;drive wireless;Helena Operations Mexico;27388;1080p;Bedfordshire applications;SCSI;e-business;Assurance teal
6;Handmade;implementation neural Gorgeous;withdrawal Refined Garden;32853;virtual middleware Small;payment Kentucky dynamic;Adaptive JBOD Hollow;Account;Car
7;repurpose Planner Bridge;Extensions Cotton;Fresh magnetic Metrics;49300;Books Response JBOD;Libyan Investor;green;SMTP e-business Rubber;Bedfordshire
8;Texas indigo;brand Borders;supply-chains Cheese Washington;67598;Mongolia yellow;Maryland;integrated cross-platform Quality;array optimize bandwidth;territory Row Kwacha
9;reboot;Republic optical transmit;invoice Fresh;89639;panel Assurance;Quality-focused;Senior;virtual quantify Wooden;Mississippi JSON
10;Configuration SQL Steel;South;Frozen;23580;Director;standardization Account;Fantastic;Administrator;payment
