id;target_amount;paid_amount;status;no_of_reminders;reminder_cycle;configs;created_on;created_by;last_updated_on;last_updated_by
1;97224;20013;ACTIVE;65374;DAILY;Liaison;Massachusetts;Gardens Gloves;Pakistan contingency customized;Wyoming Beauty hack
2;76365;48545;ACTIVE;78203;MONTHLY;Haven;reboot Cambridgeshire multi-byte;Automotive action-items programming;Naira groupware Electronics;transmitting open-source
3;55238;70082;FULFILLED;59488;WEEKLY;invoice;ADP Plastic tan;payment;Berkshire capacitor integrated;JSON Bahrain
4;68944;39892;ACTIVE;69656;WEEKLY;Cambridgeshire invoice;teal Liaison;mint Canadian blockchains;loyalty;magnetic Chief infrastructures
5;30050;81690;FULFILLED;80419;DAILY;Industrial purple invoice;enable;Michigan killer;Communications Mayotte;synergize
6;11419;40165;FULFILLED;33667;MONTHLY;optical Guadeloupe;Developer transmit incentivize;utilize;Steel overriding B2C;Ergonomic
7;25262;30769;FULFILLED;79507;DAILY;Mount;Operations viral Identity;facilitate algorithm Generic;digital;pixel Algerian salmon
8;52608;87938;ACTIVE;52947;MONTHLY;yellow;Soap SAS Buckinghamshire;neural-net program database;analyzing Books Table;Generic
9;37183;32282;ACTIVE;71684;MONTHLY;Small Computers Tuna;Balboa;Steel Handmade Market;SMTP Greenland;payment Practical
10;97107;84664;ACTIVE;98852;DAILY;Illinois Analyst;Baby;Research parse;connect neutral;value-added Accountability
