id;name;target_amount;start_date;end_date;no_of_pledge_reminder;contributed_amount;paybill;configs;created_by;created_on;last_updated_on;last_updated_by
1;contextually-based Alaska Fresh;Table Micronesia;Center;payment utilize Account;Regional;technologies Soft Senior;Assistant Bike;Guadeloupe digital;Malagasy Alley Practical;solution;Supervisor index Diverse;Brand copying
2;Corners Buckinghamshire Keyboard;Oklahoma;Tennessee Direct Radial;magenta;Assurance systemic;International open-source;Jewelery application users;back-end;program;input;actuating Corporate quantifying;digital parsing
3;Berkshire Vision-oriented empowering;Small Pakistan Directives;bluetooth Borders;Metrics;Computer digital matrix;Metal matrix back-end;Cross-group compelling;Cote;supply-chains;South;teal e-services;International networks
4;Architect Metal;mission-critical connect JBOD;exploit;Arabia withdrawal;black disintermediate;Buckinghamshire;Handmade bypassing;Borders;Handmade Swiss;Architect;withdrawal;Fords Afghanistan Philippines
5;programming Technician Organized;initiatives;functionalities Prairie SMTP;alarm;Ball;York Designer;brand;methodology;Kwacha Fantastic;Account Electronics;Customizable Plastic;compressing Market
6;innovative coherent connecting;Associate;indexing East;Gloves;Tasty Iranian 4th;Buckinghamshire;User-centric;Director Stream USB;redundant;grow vortals;JBOD Frozen Tennessee;Licensed
7;purple;convergence SAS;index Bhutan;indigo Dakota;bi-directional;Borders;cross-platform Account Garden;olive AI Hawaii;Account Checking;magenta Executive;deploy;archive Concrete architectures
8;Republic Tools solution;cross-platform Paradigm;parsing Via York;Cotton Pizza synthesize;users Arab;Security Borders hack;online Ville Intranet;Oregon Borders Associate;Function-based Organized Rufiyaa;Macao Zimbabwe object-oriented;Account;bypass
9;composite Generic Marketing;recontextualize Mouse Pants;Computer Tools workforce;copy PCI array;metrics;red bandwidth Architect;Practical Sleek;Illinois quantifying;aggregate Handcrafted;contextually-based Identity e-tailers;Facilitator Applications Director;Berkshire Bahrain
10;intermediate Bedfordshire;utilize;bottom-line Investor;Pa'anga Swedish;Lead Metal Colorado;HTTP Drive Soft;Streets;Soap Markets Planner;Handmade;Fort overriding;synergistic uniform Auto;state Producer
